Date,Open,High,Low,Volume,Close
2018-02-05,101200.0,102100.0,97400.0,1780924.0,97500.0
2018-02-06,92000.0,96200.0,89700.0,4164230.0,93700.0
2018-02-07,97000.0,97800.0,87500.0,2749858.0,87500.0
2018-02-08,88400.0,96900.0,86600.0,3514752.0,95300.0
2018-02-09,90300.0,93200.0,89400.0,2756852.0,91400.0
2018-02-12,92300.0,93400.0,88500.0,1873886.0,88500.0
2018-02-13,90400.0,91200.0,84500.0,2159744.0,84500.0
2018-02-14,86000.0,87900.0,84200.0,2163727.0,85400.0
2018-02-19,88700.0,95000.0,87800.0,4257215.0,94600.0
2018-02-20,94600.0,94900.0,90200.0,1736078.0,91000.0
2018-02-21,91500.0,95600.0,90500.0,2016696.0,94900.0
2018-02-22,94100.0,97200.0,93400.0,1813086.0,94800.0
2018-02-23,107000.0,108500.0,98800.0,5435343.0,98800.0
2018-02-26,99000.0,101200.0,98100.0,1688989.0,99100.0
2018-02-27,100500.0,103000.0,99900.0,2153382.0,100300.0
2018-02-28,99400.0,102900.0,99400.0,2398496.0,102400.0
2018-03-02,101300.0,107000.0,100700.0,3074091.0,105600.0
2018-03-05,106400.0,110800.0,105700.0,3253202.0,108500.0
2018-03-06,110300.0,110800.0,105800.0,2151649.0,108900.0
2018-03-07,108000.0,110200.0,103000.0,2119904.0,104300.0
2018-03-08,105500.0,108000.0,104500.0,1247864.0,107400.0
2018-03-09,107400.0,108400.0,104400.0,1445862.0,105700.0
2018-03-12,106300.0,109800.0,104800.0,1714449.0,109800.0
2018-03-13,110000.0,118000.0,109400.0,5072706.0,117300.0
2018-03-14,116600.0,120000.0,115100.0,2155459.0,119900.0
2018-03-15,119700.0,125600.0,112200.0,4172322.0,116900.0
2018-03-16,117900.0,119800.0,116100.0,2661831.0,119100.0
2018-03-19,118200.0,121900.0,116700.0,2006712.0,119000.0
2018-03-20,117900.0,121500.0,117500.0,1597397.0,121500.0
2018-03-21,122100.0,131200.0,121300.0,4004740.0,125700.0
2018-03-22,128000.0,128100.0,110000.0,4951295.0,113300.0
2018-03-23,110500.0,114500.0,99500.0,6014015.0,100300.0
2018-03-26,101800.0,108800.0,98600.0,3181206.0,108800.0
2018-03-27,110500.0,112800.0,103400.0,2757220.0,104200.0
2018-03-28,102500.0,104200.0,99800.0,2095212.0,103000.0
2018-03-29,103200.0,107500.0,102500.0,1446609.0,107100.0
2018-03-30,108200.0,108900.0,106600.0,1034497.0,107000.0
2018-04-02,107400.0,107400.0,104100.0,959711.0,104800.0
2018-04-03,103200.0,105800.0,102300.0,850873.0,105100.0
2018-04-04,106100.0,110700.0,104800.0,2290914.0,107100.0
2018-04-05,108900.0,110000.0,105600.0,1189198.0,106200.0
2018-04-06,105600.0,107100.0,101400.0,1635256.0,103000.0
2018-04-09,103000.0,106600.0,101000.0,1787585.0,104400.0
2018-04-10,104100.0,107100.0,103600.0,1234625.0,104100.0
2018-04-11,105500.0,105800.0,103700.0,795819.0,104000.0
2018-04-12,105700.0,110900.0,104500.0,2977579.0,104700.0
2018-04-13,105000.0,105400.0,100300.0,1380896.0,104100.0
2018-04-16,104100.0,105100.0,102600.0,976644.0,102800.0
2018-04-17,103600.0,105900.0,103400.0,1087658.0,104500.0
2018-04-18,105400.0,106700.0,103000.0,1276698.0,103800.0
2018-04-19,103000.0,105600.0,100500.0,2014582.0,100800.0
2018-04-20,101200.0,102200.0,95200.0,2185643.0,97600.0
2018-04-23,94500.0,95700.0,87600.0,3855868.0,87900.0
2018-04-24,87400.0,89700.0,83200.0,3150133.0,83300.0
2018-04-25,82800.0,84600.0,79600.0,3496542.0,82800.0
2018-04-26,84700.0,88600.0,83900.0,2837188.0,86500.0
2018-04-27,87300.0,89100.0,85900.0,1516785.0,88600.0
2018-04-30,87000.0,87700.0,83300.0,1613698.0,84100.0
2018-05-02,82000.0,88300.0,80200.0,2033543.0,85800.0
2018-05-03,86200.0,86800.0,82200.0,1083164.0,82200.0
2018-05-04,82000.0,83500.0,75100.0,3066872.0,75300.0
2018-05-08,75100.0,78300.0,65700.0,4398823.0,65700.0
2018-05-09,66100.0,70300.0,64000.0,5941010.0,69900.0
2018-05-10,70300.0,71200.0,67700.0,2045440.0,68800.0
2018-05-11,67800.0,74400.0,67300.0,3404548.0,72200.0
2018-05-14,72300.0,73100.0,68700.0,1779496.0,70200.0
2018-05-15,72000.0,73400.0,70800.0,1485813.0,71900.0
2018-05-16,73200.0,76500.0,72400.0,2775889.0,75000.0
2018-05-17,76000.0,78500.0,73700.0,2125813.0,76700.0
2018-05-18,77400.0,79400.0,76300.0,1547616.0,76700.0
2018-05-21,77400.0,78700.0,76800.0,903245.0,76900.0
2018-05-23,77500.0,78100.0,74300.0,1255645.0,74400.0
2018-05-24,73600.0,80500.0,73500.0,2492807.0,80400.0
2018-05-25,80500.0,83900.0,80400.0,2386808.0,82000.0
2018-05-28,79800.0,82400.0,78200.0,1828545.0,80500.0
2018-05-29,82200.0,84100.0,77900.0,1801035.0,78000.0
2018-05-30,79700.0,81700.0,78100.0,1418513.0,81400.0
2018-05-31,82800.0,83100.0,79700.0,1491376.0,80500.0
2018-06-01,80500.0,83500.0,80400.0,1209685.0,82000.0
2018-06-04,81500.0,82300.0,77400.0,1343836.0,78500.0
2018-06-05,83100.0,83900.0,79300.0,2110623.0,80500.0
2018-06-07,80800.0,82800.0,80500.0,1391767.0,81700.0
2018-06-08,81700.0,82500.0,80000.0,1033078.0,80300.0
2018-06-11,79400.0,80600.0,78000.0,1022693.0,78200.0
