Date,Open,High,Low,Volume,Close
2003-04-21,12100,12500,12000,584686,12250
2003-04-22,12000,12150,11500,1442472,11600
2003-04-23,11600,11650,11350,918536,11400
2003-04-24,11300,11600,11300,568210,11400
2003-04-25,11000,11150,10700,1596677,10750
2003-04-28,10500,10750,10500,833730,10550
2003-04-29,11000,12100,10800,1819953,11950
2003-04-30,11700,12100,11550,1097597,12000
2003-05-02,12000,12250,11350,1125324,11900
2003-05-06,11800,12050,11500,945450,11550
2003-05-07,11600,12200,11550,1187370,12050
2003-05-09,12000,12850,11700,1779420,12350
2003-05-12,12500,12650,12400,1062990,12550
2003-05-13,12550,12700,12150,715133,12150
2003-05-14,11900,12150,11750,639590,12000
2003-05-15,12000,12500,11650,788256,12300
2003-05-16,12050,12350,11650,1212382,11850
2003-05-19,11650,11700,11100,1246123,11700
2003-05-20,11300,11800,11300,1045312,11750
2003-05-21,11500,11650,11350,1389293,11350
2003-05-22,11350,11500,10800,1666877,11000
2003-05-23,11200,11250,10900,1438340,11000
2003-05-26,10900,10950,10700,2038738,10800
2003-05-27,10800,11050,10700,1406307,10750
2003-05-28,11050,11350,11050,1758960,11350
2003-05-29,11200,11900,11050,2367633,11850
2003-05-30,11850,12550,11600,3997618,12250
2003-06-02,12500,12950,12400,1123380,12750
2003-06-03,12600,12650,12300,950265,12600
2003-06-04,12900,12900,12350,1060895,12450
2003-06-05,12500,12650,12150,903017,12200
2003-06-09,12400,12600,12050,1208590,12500
2003-06-10,12500,12900,12450,922559,12650
2003-06-11,12750,12800,12550,1206510,12650
2003-06-12,12900,12900,12500,2004917,12700
2003-06-13,12700,13250,12600,1619823,12950
2003-06-16,13000,13300,13000,889920,13050
2003-06-17,13800,13800,13300,2011179,13350
2003-06-18,13500,13550,13150,939111,13250
2003-06-19,13250,13800,13150,1060285,13500
2003-06-20,13800,14650,13700,3203990,13900
2003-06-23,13700,13850,12800,4542281,12850
2003-06-24,12100,12400,11900,5206799,12150
2003-06-25,12150,12550,12150,3479575,12350
2003-06-26,12100,12650,12100,1781302,12350
2003-06-27,12400,12600,12050,2078500,12300
2003-06-30,12250,12600,12250,1106267,12450
2003-07-01,12350,12550,12150,840454,12500
2003-07-02,12700,13000,12550,1990426,12900
2003-07-03,13200,13250,12550,1559997,12600
2003-07-04,12600,12800,12450,1301564,12550
2003-07-07,12600,12850,12550,1547996,12800
2003-07-08,13200,13850,13050,3071471,13700
2003-07-09,13700,13950,13500,2070349,13750
2003-07-10,13950,14150,13700,1603901,13700
2003-07-11,13600,14350,13500,1378255,14250
2003-07-14,14550,15650,14500,3365871,15550
2003-07-15,15950,16050,15000,2180001,15150
